gameid,playerindex,moveid,movetype,cardname
69,0,0,PLAY,Clay Pool
69,1,1,PLAY,Clay Pit
69,2,2,PLAY,Workshop
69,0,3,PLAY,Guard Tower
69,1,4,PLAY,Scriptorium
69,2,5,PLAY,Lumber Yard
69,0,6,PLAY,Loom
69,1,7,PLAY,Press
69,2,8,PLAY,Barracks
69,0,9,PLAY,Timber Yard
69,1,10,PLAY,Altar
69,2,11,PLAY,Stockade
69,0,12,PLAY,Ore Vein
69,1,13,PLAY,Baths
69,2,14,PLAY,Stone Pit
69,0,15,UPGRADE_WONDER,Marketplace
69,1,16,PLAY,East Trading Post
69,2,17,PLAY,Theater
69,0,18,UPGRADE_WONDER,Library
69,1,19,PLAY,Dispensary
69,2,20,PLAY,Archery Range
69,0,21,PLAY,Courthouse
69,1,22,PLAY,Forum
69,2,23,PLAY,Laboratory
69,0,24,PLAY,Caravansery
69,1,25,PLAY,Temple
69,2,26,PLAY,Foundry
69,0,27,PLAY,Stables
69,1,28,PLAY,Glassworks
69,2,29,PLAY,School
69,0,30,PLAY,Aqueduct
69,1,31,DISCARD,Statue
69,2,32,PLAY,Vineyard
69,0,33,PLAY,Walls
69,1,34,PLAY,Loom
69,2,35,UPGRADE_WONDER,Brickyard
69,0,36,PLAY,Gardens
69,1,37,PLAY,Arsenal
69,2,38,PLAY,Siege Workshop
69,0,39,PLAY,Senate
69,1,40,PLAY,Pantheon
69,2,41,UPGRADE_WONDER,Strategists Guild
69,0,42,PLAY,Palace
69,1,43,PLAY,Lodge
69,2,44,UPGRADE_WONDER,Shipowners Guild
69,0,45,PLAY,Academy
69,1,46,PLAY,University
69,2,47,PLAY,Fortifications
69,0,48,PLAY,Arena
69,1,49,PLAY,Town Hall
69,2,50,PLAY,Study
69,0,51,PLAY,Lighthouse
69,1,52,PLAY,Haven
69,2,53,PLAY,Observatory
38,0,0,PLAY,Clay Pool
38,1,1,PLAY,Scriptorium
38,2,2,PLAY,Clay Pit
38,0,3,PLAY,Glassworks
38,1,4,PLAY,Stone Pit
38,2,5,PLAY,Theater
38,0,6,PLAY,Altar
38,1,7,PLAY,Workshop
38,2,8,PLAY,Lumber Yard
38,0,9,PLAY,Guard Tower
38,1,10,PLAY,Marketplace
38,2,11,PLAY,Baths
38,0,12,PLAY,Stockade
38,1,13,PLAY,Timber Yard
38,2,14,PLAY,Loom
38,0,15,PLAY,West Trading Post
38,1,16,UPGRADE_WONDER,East Trading Post
38,2,17,PLAY,Barracks
38,0,18,PLAY,Laboratory
38,1,19,PLAY,Archery Range
38,2,20,PLAY,Stables
38,0,21,PLAY,Temple
38,1,22,PLAY,Foundry
38,2,23,PLAY,Dispensary
38,0,24,PLAY,Brickyard
38,1,25,UPGRADE_WONDER,School
38,2,26,PLAY,Quarry
38,0,27,PLAY,Vineyard
38,1,28,UPGRADE_WONDER,Caravansery
38,2,29,PLAY,Aqueduct
38,0,30,PLAY,Loom
38,1,31,PLAY,Glassworks
38,2,32,PLAY,Library
38,0,33,PLAY,Press
38,1,34,PLAY,Courthouse
38,2,35,DISCARD,Forum
38,0,36,PLAY,University
38,1,37,PLAY,Fortifications
38,2,38,UPGRADE_WONDER,Traders Guild
38,0,39,PLAY,Gardens
38,1,40,PLAY,Arsenal
38,2,41,PLAY,Siege Workshop
38,0,42,PLAY,Haven
38,1,43,PLAY,Palace
38,2,44,PLAY,Senate
38,0,45,PLAY,Scientists Guild
38,1,46,PLAY,Strategists Guild
38,2,47,PLAY,Lodge
38,0,48,PLAY,Pantheon
38,1,49,PLAY,Academy
38,2,50,UPGRADE_WONDER,Arena
38,0,51,PLAY,Observatory
38,1,52,PLAY,Town Hall
38,2,53,PLAY,Study
54,0,0,PLAY,Clay Pool
54,1,1,PLAY,Clay Pit
54,2,2,PLAY,Stone Pit
54,0,3,PLAY,Timber Yard
54,1,4,PLAY,Theater
54,2,5,UPGRADE_WONDER,Workshop
54,0,6,PLAY,East Trading Post
54,1,7,PLAY,Baths
54,2,8,PLAY,Marketplace
54,0,9,PLAY,Glassworks
54,1,10,PLAY,Loom
54,2,11,PLAY,Altar
54,0,12,PLAY,Guard Tower
54,1,13,PLAY,Ore Vein
54,2,14,PLAY,Apothecary
54,0,15,PLAY,Stockade
54,1,16,PLAY,Lumber Yard
54,2,17,PLAY,Press
54,0,18,PLAY,Laboratory
54,1,19,PLAY,Statue
54,2,20,PLAY,Walls
54,0,21,PLAY,Temple
54,1,22,PLAY,Archery Range
54,2,23,PLAY,Dispensary
54,0,24,PLAY,School
54,1,25,PLAY,Aqueduct
54,2,26,PLAY,Stables
54,0,27,UPGRADE_WONDER,Press
54,1,28,DISCARD,Courthouse
54,2,29,PLAY,Loom
54,0,30,PLAY,Sawmill
54,1,31,PLAY,Vineyard
54,2,32,PLAY,Library
54,0,33,PLAY,Forum
54,1,34,PLAY,Foundry
54,2,35,PLAY,Brickyard
54,0,36,UPGRADE_WONDER,Study
54,1,37,UPGRADE_WONDER,Arsenal
54,2,38,PLAY,University
54,0,39,PLAY,Academy
54,1,40,PLAY,Gardens
54,2,41,PLAY,Senate
54,0,42,UPGRADE_WONDER,Workers Guild
54,1,43,PLAY,Pantheon
54,2,44,PLAY,Fortifications
54,0,45,PLAY,Arena
54,1,46,DISCARD,Siege Workshop
54,2,47,DISCARD,Spies Guild
54,0,48,PLAY,Palace
54,1,49,UPGRADE_WONDER,Haven
54,2,50,PLAY,Observatory
54,0,51,PLAY,Philosophers Guild
54,1,52,UPGRADE_WONDER,Lodge
54,2,53,PLAY,Town Hall
140,0,0,PLAY,Workshop
140,1,1,PLAY,Lumber Yard
140,2,2,PLAY,Stone Pit
140,0,3,PLAY,Ore Vein
140,1,4,PLAY,Theater
140,2,5,PLAY,Clay Pit
140,0,6,PLAY,Timber Yard
140,1,7,PLAY,Scriptorium
140,2,8,PLAY,Altar
140,0,9,PLAY,Clay Pool
140,1,10,PLAY,Loom
140,2,11,UPGRADE_WONDER,West Trading Post
140,0,12,PLAY,Guard Tower
140,1,13,PLAY,East Trading Post
140,2,14,PLAY,Press
140,0,15,UPGRADE_WONDER,Stockade
140,1,16,PLAY,Marketplace
140,2,17,PLAY,Baths
140,0,18,PLAY,Courthouse
140,1,19,PLAY,Foundry
140,2,20,UPGRADE_WONDER,Glassworks
140,0,21,PLAY,Laboratory
140,1,22,UPGRADE_WONDER,Library
140,2,23,UPGRADE_WONDER,Dispensary
140,0,24,PLAY,Caravansery
140,1,25,PLAY,Archery Range
140,2,26,PLAY,Stables
140,0,27,UPGRADE_WONDER,Sawmill
140,1,28,PLAY,School
140,2,29,PLAY,Statue
140,0,30,PLAY,Walls
140,1,31,PLAY,Temple
140,2,32,PLAY,Aqueduct
140,0,33,PLAY,Brickyard
140,1,34,PLAY,Forum
140,2,35,PLAY,Quarry
140,0,36,PLAY,University
140,1,37,UPGRADE_WONDER,Arsenal
140,2,38,PLAY,Town Hall
140,0,39,PLAY,Haven
140,1,40,PLAY,Pantheon
140,2,41,DISCARD,Strategists Guild
140,0,42,PLAY,Arena
140,1,43,DISCARD,Fortifications
140,2,44,PLAY,Gardens
140,0,45,PLAY,Senate
140,1,46,UPGRADE_WONDER,Academy
140,2,47,PLAY,Craftsmens Guild
140,0,48,PLAY,Lighthouse
140,1,49,PLAY,Palace
140,2,50,DISCARD,Scientists Guild
140,0,51,PLAY,Siege Workshop
140,1,52,DISCARD,Shipowners Guild
140,2,53,PLAY,Study
77,0,0,PLAY,Theater
77,1,1,PLAY,Clay Pool
77,2,2,PLAY,Stone Pit
77,0,3,PLAY,East Trading Post
77,1,4,PLAY,Baths
77,2,5,PLAY,Timber Yard
77,0,6,PLAY,Guard Tower
77,1,7,PLAY,Marketplace
77,2,8,UPGRADE_WONDER,Glassworks
77,0,9,PLAY,Scriptorium
77,1,10,PLAY,Stockade
77,2,11,PLAY,Barracks
77,0,12,PLAY,Ore Vein
77,1,13,PLAY,Lumber Yard
77,2,14,PLAY,Press
77,0,15,PLAY,Loom
77,1,16,PLAY,Clay Pit
77,2,17,UPGRADE_WONDER,Altar
77,0,18,PLAY,Quarry
77,1,19,PLAY,Stables
77,2,20,PLAY,Walls
77,0,21,PLAY,School
77,1,22,PLAY,Laboratory
77,2,23,PLAY,Aqueduct
77,0,24,PLAY,Caravansery
77,1,25,PLAY,Foundry
77,2,26,PLAY,Glassworks
77,0,27,PLAY,Library
77,1,28,PLAY,Archery Range
77,2,29,UPGRADE_WONDER,Temple
77,0,30,PLAY,Courthouse
77,1,31,PLAY,Dispensary
77,2,32,PLAY,Statue
77,0,33,PLAY,Vineyard
77,1,34,PLAY,Loom
77,2,35,PLAY,Sawmill
77,0,36,PLAY,Shipowners Guild
77,1,37,PLAY,Gardens
77,2,38,PLAY,Fortifications
77,0,39,PLAY,Academy
77,1,40,PLAY,Arsenal
77,2,41,PLAY,Siege Workshop
77,0,42,PLAY,Lodge
77,1,43,PLAY,Senate
77,2,44,PLAY,Town Hall
77,0,45,PLAY,Arena
77,1,46,PLAY,Pantheon
77,2,47,PLAY,Palace
77,0,48,PLAY,Haven
77,1,49,PLAY,Study
77,2,50,PLAY,University
77,0,51,PLAY,Spies Guild
77,1,52,PLAY,Workers Guild
77,2,53,PLAY,Traders Guild
39,0,0,PLAY,Baths
39,1,1,PLAY,Clay Pool
39,2,2,PLAY,Lumber Yard
39,0,3,PLAY,Scriptorium
39,1,4,PLAY,Timber Yard
39,2,5,PLAY,Theater
39,0,6,PLAY,East Trading Post
39,1,7,PLAY,Press
39,2,8,PLAY,Altar
39,0,9,PLAY,Glassworks
39,1,10,UPGRADE_WONDER,Stone Pit
39,2,11,UPGRADE_WONDER,Ore Vein
39,0,12,PLAY,Loom
39,1,13,PLAY,Workshop
39,2,14,PLAY,Clay Pit
39,0,15,PLAY,Barracks
39,1,16,DISCARD,Apothecary
39,2,17,PLAY,West Trading Post
39,0,18,DISCARD,Archery Range
39,1,19,PLAY,Stables
39,2,20,PLAY,Brickyard
39,0,21,PLAY,School
39,1,22,PLAY,Dispensary
39,2,23,PLAY,Courthouse
39,0,24,PLAY,Vineyard
39,1,25,PLAY,Glassworks
39,2,26,PLAY,Laboratory
39,0,27,PLAY,Aqueduct
39,1,28,PLAY,Temple
39,2,29,PLAY,Statue
39,0,30,PLAY,Forum
39,1,31,PLAY,Foundry
39,2,32,PLAY,Press
39,0,33,PLAY,Quarry
39,1,34,PLAY,Sawmill
39,2,35,PLAY,Caravansery
39,0,36,PLAY,Lighthouse
39,1,37,PLAY,Arsenal
39,2,38,PLAY,Senate
39,0,39,PLAY,Town Hall
39,1,40,PLAY,Fortifications
39,2,41,PLAY,Observatory
39,0,42,PLAY,Magistrates Guild
39,1,43,PLAY,Arena
39,2,44,PLAY,Siege Workshop
39,0,45,PLAY,Study
39,1,46,UPGRADE_WONDER,Gardens
39,2,47,DISCARD,Lodge
39,0,48,PLAY,Haven
39,1,49,PLAY,Pantheon
39,2,50,PLAY,Palace
39,0,51,PLAY,Academy
39,1,52,UPGRADE_WONDER,Craftsmens Guild
39,2,53,UPGRADE_WONDER,Shipowners Guild
15,0,0,PLAY,Ore Vein
15,1,1,PLAY,Timber Yard
15,2,2,PLAY,Altar
15,0,3,PLAY,Scriptorium
15,1,4,UPGRADE_WONDER,East Trading Post
15,2,5,UPGRADE_WONDER,Stockade
15,0,6,PLAY,Baths
15,1,7,PLAY,Clay Pool
15,2,8,PLAY,Clay Pit
15,0,9,PLAY,Theater
15,1,10,PLAY,Stone Pit
15,2,11,PLAY,Loom
15,0,12,PLAY,Press
15,1,13,PLAY,Apothecary
15,2,14,PLAY,Workshop
15,0,15,PLAY,Barracks
15,1,16,PLAY,Lumber Yard
15,2,17,PLAY,Glassworks
15,0,18,PLAY,Courthouse
15,1,19,PLAY,Stables
15,2,20,PLAY,Archery Range
15,0,21,PLAY,Library
15,1,22,PLAY,School
15,2,23,PLAY,Brickyard
15,0,24,PLAY,Foundry
15,1,25,DISCARD,Walls
15,2,26,PLAY,Forum
15,0,27,PLAY,Sawmill
15,1,28,PLAY,Temple
15,2,29,PLAY,Laboratory
15,0,30,PLAY,Quarry
15,1,31,PLAY,Loom
15,2,32,PLAY,Dispensary
15,0,33,PLAY,Vineyard
15,1,34,PLAY,Aqueduct
15,2,35,DISCARD,Glassworks
15,0,36,PLAY,Study
15,1,37,PLAY,Pantheon
15,2,38,PLAY,Siege Workshop
15,0,39,PLAY,Academy
15,1,40,DISCARD,Craftsmens Guild
15,2,41,UPGRADE_WONDER,Lodge
15,0,42,PLAY,Senate
15,1,43,UPGRADE_WONDER,Arena
15,2,44,PLAY,Arsenal
15,0,45,PLAY,Spies Guild
15,1,46,PLAY,Town Hall
15,2,47,PLAY,Haven
15,0,48,PLAY,Observatory
15,1,49,UPGRADE_WONDER,Gardens
15,2,50,PLAY,Palace
15,0,51,PLAY,Fortifications
15,1,52,PLAY,Strategists Guild
15,2,53,UPGRADE_WONDER,Traders Guild
78,0,0,PLAY,Glassworks
78,1,1,PLAY,Timber Yard
78,2,2,PLAY,Lumber Yard
78,0,3,PLAY,Clay Pit
78,1,4,UPGRADE_WONDER,Clay Pool
78,2,5,PLAY,Theater
78,0,6,PLAY,Stockade
78,1,7,PLAY,Altar
78,2,8,PLAY,Baths
78,0,9,PLAY,Press
78,1,10,PLAY,Barracks
78,2,11,PLAY,Guard Tower
78,0,12,PLAY,Scriptorium
78,1,13,PLAY,Ore Vein
78,2,14,PLAY,Workshop
78,0,15,UPGRADE_WONDER,Apothecary
78,1,16,PLAY,Stone Pit
78,2,17,PLAY,West Trading Post
78,0,18,PLAY,Library
78,1,19,PLAY,Quarry
78,2,20,PLAY,Archery Range
78,0,21,DISCARD,Glassworks
78,1,22,PLAY,Walls
78,2,23,PLAY,Brickyard
78,0,24,PLAY,School
78,1,25,PLAY,Stables
78,2,26,UPGRADE_WONDER,Press
78,0,27,PLAY,Dispensary
78,1,28,PLAY,Temple
78,2,29,UPGRADE_WONDER,Laboratory
78,0,30,PLAY,Sawmill
78,1,31,PLAY,Aqueduct
78,2,32,PLAY,Courthouse
78,0,33,PLAY,Vineyard
78,1,34,DISCARD,Statue
78,2,35,UPGRADE_WONDER,Caravansery
78,0,36,PLAY,Gardens
78,1,37,PLAY,Senate
78,2,38,PLAY,Siege Workshop
78,0,39,PLAY,Lodge
78,1,40,UPGRADE_WONDER,Palace
78,2,41,PLAY,Town Hall
78,0,42,PLAY,Fortifications
78,1,43,UPGRADE_WONDER,Spies Guild
78,2,44,PLAY,Arsenal
78,0,45,PLAY,Workers Guild
78,1,46,PLAY,Academy
78,2,47,PLAY,University
78,0,48,PLAY,Study
78,1,49,PLAY,Pantheon
78,2,50,PLAY,Lighthouse
78,0,51,PLAY,Arena
78,1,52,PLAY,Scientists Guild
78,2,53,PLAY,Strategists Guild
16,0,0,PLAY,Timber Yard
16,1,1,PLAY,Ore Vein
16,2,2,PLAY,Clay Pit
16,0,3,PLAY,Glassworks
16,1,4,PLAY,Scriptorium
16,2,5,PLAY,Baths
16,0,6,PLAY,Barracks
16,1,7,PLAY,Workshop
16,2,8,PLAY,Altar
16,0,9,PLAY,Marketplace
16,1,10,PLAY,Theater
16,2,11,PLAY,Lumber Yard
16,0,12,PLAY,Guard Tower
16,1,13,PLAY,West Trading Post
16,2,14,PLAY,Stockade
16,0,15,PLAY,East Trading Post
16,1,16,PLAY,Clay Pool
16,2,17,PLAY,Stone Pit
16,0,18,PLAY,Statue
16,1,19,PLAY,Sawmill
16,2,20,UPGRADE_WONDER,Caravansery
16,0,21,PLAY,School
16,1,22,PLAY,Foundry
16,2,23,UPGRADE_WONDER,Forum
16,0,24,PLAY,Quarry
16,1,25,PLAY,Stables
16,2,26,PLAY,Press
16,0,27,PLAY,Walls
16,1,28,PLAY,Courthouse
16,2,29,PLAY,Loom
16,0,30,PLAY,Library
16,1,31,PLAY,Laboratory
16,2,32,PLAY,Aqueduct
16,0,33,PLAY,Vineyard
16,1,34,PLAY,Archery Range
16,2,35,PLAY,Glassworks
16,0,36,PLAY,Town Hall
16,1,37,PLAY,Fortifications
16,2,38,PLAY,Study
16,0,39,PLAY,Arena
16,1,40,PLAY,Siege Workshop
16,2,41,PLAY,Traders Guild
16,0,42,PLAY,Workers Guild
16,1,43,DISCARD,Philosophers Guild
16,2,44,DISCARD,Gardens
16,0,45,PLAY,Haven
16,1,46,PLAY,Arsenal
16,2,47,PLAY,Palace
16,0,48,PLAY,Lodge
16,1,49,PLAY,Academy
16,2,50,PLAY,Senate
16,0,51,PLAY,University
16,1,52,UPGRADE_WONDER,Builders Guild
16,2,53,PLAY,Observatory
55,0,0,PLAY,Theater
55,1,1,PLAY,Altar
55,2,2,PLAY,Lumber Yard
55,0,3,PLAY,East Trading Post
55,1,4,PLAY,Scriptorium
55,2,5,PLAY,Stone Pit
55,0,6,PLAY,Clay Pit
55,1,7,PLAY,Timber Yard
55,2,8,PLAY,Clay Pool
55,0,9,PLAY,Loom
55,1,10,PLAY,Glassworks
55,2,11,UPGRADE_WONDER,Barracks
55,0,12,PLAY,Stockade
55,1,13,UPGRADE_WONDER,West Trading Post
55,2,14,UPGRADE_WONDER,Ore Vein
55,0,15,PLAY,Apothecary
55,1,16,PLAY,Baths
55,2,17,PLAY,Guard Tower
55,0,18,PLAY,Brickyard
55,1,19,PLAY,Sawmill
55,2,20,PLAY,Stables
55,0,21,PLAY,Foundry
55,1,22,PLAY,Temple
55,2,23,PLAY,Archery Range
55,0,24,PLAY,Quarry
55,1,25,UPGRADE_WONDER,Vineyard
55,2,26,PLAY,Library
55,0,27,PLAY,Aqueduct
55,1,28,UPGRADE_WONDER,Forum
55,2,29,PLAY,Glassworks
55,0,30,PLAY,Caravansery
55,1,31,PLAY,Dispensary
55,2,32,PLAY,School
55,0,33,PLAY,Courthouse
55,1,34,PLAY,Walls
55,2,35,PLAY,Loom
55,0,36,PLAY,Haven
55,1,37,PLAY,Lodge
55,2,38,PLAY,Gardens
55,0,39,PLAY,Observatory
55,1,40,DISCARD,University
55,2,41,PLAY,Senate
55,0,42,PLAY,Arsenal
55,1,43,PLAY,Fortifications
55,2,44,PLAY,Palace
55,0,45,PLAY,Town Hall
55,1,46,PLAY,Siege Workshop
55,2,47,PLAY,Academy
55,0,48,PLAY,Lighthouse
55,1,49,DISCARD,Shipowners Guild
55,2,50,PLAY,Study
55,0,51,PLAY,Traders Guild
55,1,52,PLAY,Pantheon
55,2,53,DISCARD,Builders Guild
163,0,0,PLAY,West Trading Post
163,1,1,PLAY,Stone Pit
163,2,2,PLAY,Lumber Yard
163,0,3,PLAY,Stockade
163,1,4,PLAY,Clay Pit
163,2,5,PLAY,Altar
163,0,6,PLAY,Marketplace
163,1,7,UPGRADE_WONDER,Guard Tower
163,2,8,UPGRADE_WONDER,Loom
163,0,9,PLAY,Timber Yard
163,1,10,PLAY,Theater
163,2,11,PLAY,Barracks
163,0,12,PLAY,Clay Pool
163,1,13,UPGRADE_WONDER,Ore Vein
163,2,14,PLAY,Baths
163,0,15,UPGRADE_WONDER,Scriptorium
163,1,16,PLAY,Glassworks
163,2,17,PLAY,East Trading Post
163,0,18,PLAY,Archery Range
163,1,19,PLAY,Quarry
163,2,20,PLAY,School
163,0,21,PLAY,Glassworks
163,1,22,PLAY,Walls
163,2,23,PLAY,Foundry
163,0,24,PLAY,Dispensary
163,1,25,PLAY,Press
163,2,26,PLAY,Stables
163,0,27,PLAY,Statue
163,1,28,PLAY,Sawmill
163,2,29,PLAY,Loom
163,0,30,DISCARD,Courthouse
163,1,31,PLAY,Aqueduct
163,2,32,UPGRADE_WONDER,Vineyard
163,0,33,PLAY,Caravansery
163,1,34,UPGRADE_WONDER,Library
163,2,35,PLAY,Temple
163,0,36,PLAY,Spies Guild
163,1,37,PLAY,Fortifications
163,2,38,PLAY,Arsenal
163,0,39,PLAY,University
163,1,40,PLAY,Gardens
163,2,41,PLAY,Pantheon
163,0,42,PLAY,Study
163,1,43,PLAY,Town Hall
163,2,44,PLAY,Academy
163,0,45,PLAY,Lodge
163,1,46,PLAY,Palace
163,2,47,PLAY,Workers Guild
163,0,48,PLAY,Arena
163,1,49,PLAY,Strategists Guild
163,2,50,PLAY,Senate
163,0,51,PLAY,Haven
163,1,52,PLAY,Shipowners Guild
163,2,53,PLAY,Observatory
226,0,0,PLAY,Timber Yard
226,1,1,PLAY,Clay Pit
226,2,2,PLAY,Lumber Yard
226,0,3,PLAY,East Trading Post
226,1,4,PLAY,Theater
226,2,5,PLAY,Altar
226,0,6,PLAY,Barracks
226,1,7,PLAY,Scriptorium
226,2,8,PLAY,Baths
226,0,9,PLAY,Guard Tower
226,1,10,PLAY,Workshop
226,2,11,PLAY,Stockade
226,0,12,DISCARD,Ore Vein
226,1,13,PLAY,Stone Pit
226,2,14,PLAY,Glassworks
226,0,15,PLAY,Press
226,1,16,PLAY,Clay Pool
226,2,17,PLAY,Marketplace
226,0,18,PLAY,Sawmill
226,1,19,PLAY,Courthouse
226,2,20,PLAY,Foundry
226,0,21,PLAY,Vineyard
226,1,22,PLAY,Archery Range
226,2,23,PLAY,Aqueduct
226,0,24,PLAY,Quarry
226,1,25,PLAY,Statue
226,2,26,PLAY,Temple
226,0,27,UPGRADE_WONDER,School
226,1,28,PLAY,Library
226,2,29,PLAY,Stables
226,0,30,PLAY,Walls
226,1,31,UPGRADE_WONDER,Press
226,2,32,PLAY,Dispensary
226,0,33,PLAY,Loom
226,1,34,PLAY,Caravansery
226,2,35,DISCARD,Brickyard
226,0,36,PLAY,Academy
226,1,37,PLAY,Gardens
226,2,38,PLAY,Arsenal
226,0,39,PLAY,Arena
226,1,40,PLAY,University
226,2,41,PLAY,Lodge
226,0,42,PLAY,Town Hall
226,1,43,PLAY,Senate
226,2,44,PLAY,Pantheon
226,0,45,PLAY,Fortifications
226,1,46,PLAY,Lighthouse
226,2,47,UPGRADE_WONDER,Spies Guild
226,0,48,PLAY,Palace
226,1,49,UPGRADE_WONDER,Study
226,2,50,UPGRADE_WONDER,Philosophers Guild
226,0,51,PLAY,Observatory
226,1,52,UPGRADE_WONDER,Scientists Guild
226,2,53,PLAY,Craftsmens Guild
141,0,0,PLAY,Timber Yard
141,1,1,PLAY,Press
141,2,2,PLAY,Ore Vein
141,0,3,PLAY,Stockade
141,1,4,PLAY,Clay Pit
141,2,5,PLAY,Theater
141,0,6,PLAY,Altar
141,1,7,PLAY,Scriptorium
141,2,8,PLAY,Guard Tower
141,0,9,PLAY,West Trading Post
141,1,10,PLAY,Glassworks
