gameid,playouts,playerindex,wondername,boardGold,CIVIL,MILITARY,SCIENCE,TRADE,GUILD,WONDER,GOLD
69,10,0,AlexandriaB,25,28,10,1,5,0,0,8
69,10,2,EphesosB,12,2,14,17,0,0,10,4
69,10,1,RhodosB,1,21,-6,8,1,0,0,0
38,10,2,RhodosB,5,16,11,13,0,0,7,1
38,10,1,AlexandriaA,8,18,2,10,0,4,10,2
38,10,0,EphesosB,11,17,-1,13,2,0,0,3
54,10,0,EphesosB,30,11,-1,10,3,5,10,10
54,10,2,GizahA,2,14,15,16,0,0,3,0
54,10,1,RhodosA,9,26,2,0,0,0,10,3
140,20,0,AlexandriaB,27,10,18,5,10,0,0,9
140,20,1,RhodosA,8,20,2,4,0,0,10,2
140,20,2,EphesosA,4,25,-4,1,0,2,10,1
77,10,2,AlexandriaA,3,23,12,1,0,6,10,1
77,10,1,RhodosB,5,21,10,5,0,5,0,1
77,10,0,EphesosA,7,6,-4,13,2,13,0,2
39,10,0,EphesosB,17,14,2,13,6,8,0,5
39,10,1,RhodosA,4,10,15,2,3,0,10,1
39,10,2,GizahB,4,26,1,4,0,0,8,1
15,10,2,GizahA,8,10,12,5,2,0,15,2
15,10,0,EphesosB,6,15,4,16,0,4,0,2
15,10,1,AlexandriaA,10,21,0,2,0,4,10,3
78,10,1,GizahA,5,23,10,4,0,0,15,1
78,10,2,AlexandriaB,1,15,12,2,2,5,7,0
78,10,0,RhodosA,17,5,-4,21,1,6,3,5
16,10,0,RhodosB,13,10,9,10,2,7,0,4
16,10,2,GizahB,5,24,-4,4,0,6,8,1
16,10,1,EphesosB,7,6,11,13,0,0,2,2
55,10,2,EphesosA,9,19,11,13,0,0,3,3
55,10,1,AlexandriaA,4,15,10,5,0,0,10,1
55,10,0,RhodosB,16,17,-3,2,8,0,0,5
163,20,2,GizahA,4,21,14,10,0,6,8,1
163,20,1,EphesosB,6,26,0,0,0,10,10,2
163,20,0,RhodosA,14,4,2,13,3,5,3,4
226,40,0,RhodosB,20,14,18,2,1,0,3,6
226,40,1,EphesosB,13,21,-6,10,2,0,10,4
226,40,2,AlexandriaB,4,20,6,4,0,4,0,1
141,20,0,RhodosB,14,6,5,31,0,5,0,4
141,20,2,GizahA,1,10,14,1,0,12,8,0
141,20,1,EphesosA,10,29,-5,4,1,0,10,3
17,10,0,RhodosB,23,14,12,13,4,0,3,7
17,10,1,EphesosB,4,20,-5,18,0,4,10,1
17,10,2,AlexandriaB,3,17,11,1,0,3,7,1
40,10,2,AlexandriaB,2,15,13,16,0,0,7,0
40,10,1,RhodosB,17,9,7,13,0,0,7,5
40,10,0,GizahB,11,14,-4,4,2,8,0,3
70,10,0,GizahB,9,11,12,16,0,8,0,3
70,10,1,RhodosA,9,12,11,1,4,6,3,3
70,10,2,AlexandriaA,4,20,-5,8,2,2,10,1
79,10,0,GizahA,28,8,16,1,2,9,8,9
79,10,2,EphesosB,7,31,-2,5,0,0,10,2
79,10,1,AlexandriaA,12,6,-2,26,0,6,3,4
71,10,2,GizahA,10,16,11,10,0,8,8,3
71,10,1,EphesosA,9,17,9,1,2,3,10,3
71,10,0,AlexandriaB,1,19,-2,20,2,4,0,0
227,40,0,RhodosB,37,8,8,1,0,15,7,12
227,40,1,EphesosB,7,18,15,2,3,0,10,2
227,40,2,GizahB,7,23,-5,21,0,0,3,2
80,10,2,GizahA,0,21,17,1,0,7,15,0
80,10,1,EphesosB,17,21,0,4,0,6,10,5
80,10,0,RhodosA,16,10,1,16,6,2,3,5
109,20,0,AlexandriaB,16,2,18,9,7,13,0,5
109,20,1,RhodosB,7,22,-3,18,0,0,0,2
109,20,2,GizahA,5,17,-3,0,0,3,15,1
81,10,0,RhodosA,13,11,9,10,0,12,0,4
81,10,2,AlexandriaA,18,12,9,4,4,0,10,6
81,10,1,EphesosB,0,19,-6,10,0,0,10,0
41,10,1,EphesosB,6,16,16,1,0,6,10,2
41,10,2,GizahB,4,17,-4,20,3,6,8,1
41,10,0,AlexandriaB,24,22,6,1,3,8,0,8
82,10,0,AlexandriaA,35,10,-3,1,5,11,10,11
82,10,1,RhodosA,6,14,14,1,0,0,10,2
82,10,2,GizahB,5,14,7,1,0,0,13,1
72,10,0,EphesosB,7,0,10,16,2,20,10,2
72,10,1,AlexandriaB,5,15,12,5,0,4,7,1
72,10,2,RhodosA,21,28,-4,2,4,0,3,7
202,40,0,GizahB,7,6,12,18,4,13,0,2
202,40,1,RhodosB,22,8,11,8,4,0,3,7
202,40,2,AlexandriaA,0,23,-5,1,0,0,10,0
83,10,2,AlexandriaB,3,24,8,4,0,0,7,1
83,10,1,EphesosA,5,25,1,5,0,0,10,1
83,10,0,GizahA,13,6,7,10,2,8,0,4
18,10,1,GizahA,8,19,-4,10,3,0,15,2
18,10,2,RhodosA,4,5,13,9,0,0,10,1
18,10,0,AlexandriaB,14,7,7,4,4,8,0,4
73,10,2,GizahA,3,27,-5,17,0,5,8,1
73,10,1,RhodosB,4,18,12,0,0,4,7,1
73,10,0,EphesosB,19,4,9,13,3,5,0,6
84,10,0,RhodosB,30,0,13,16,1,0,3,10
84,10,2,AlexandriaA,3,21,7,0,0,4,10,1
84,10,1,EphesosB,9,20,-4,5,2,0,10,3
